Series ID,Year,Period,Label,Value
CUUR0000SA0,2012,M03,2012 Mar,229.392
CUUR0000SA0,2012,M04,2012 Apr,230.085
CUUR0000SA0,2012,M05,2012 May,229.815
CUUR0000SA0,2012,M06,2012 Jun,229.478
CUUR0000SA0,2012,M07,2012 Jul,229.104
CUUR0000SA0,2012,M08,2012 Aug,230.379
CUUR0000SA0,2012,M09,2012 Sep,231.407
CUUR0000SA0,2012,M10,2012 Oct,231.317
CUUR0000SA0,2012,M11,2012 Nov,230.221
CUUR0000SA0,2012,M12,2012 Dec,229.601
CUUR0000SA0,2013,M01,2013 Jan,230.280
CUUR0000SA0,2013,M02,2013 Feb,232.166
CUUR0000SA0,2013,M03,2013 Mar,232.773
CUUR0000SA0,2013,M04,2013 Apr,232.531
CUUR0000SA0,2013,M05,2013 May,232.945
CUUR0000SA0,2013,M06,2013 Jun,233.504
CUUR0000SA0,2013,M07,2013 Jul,233.596
CUUR0000SA0,2013,M08,2013 Aug,233.877
CUUR0000SA0,2013,M09,2013 Sep,234.149
CUUR0000SA0,2013,M10,2013 Oct,233.546
CUUR0000SA0,2013,M11,2013 Nov,233.069
CUUR0000SA0,2013,M12,2013 Dec,233.049
CUUR0000SA0,2014,M01,2014 Jan,233.916
CUUR0000SA0,2014,M02,2014 Feb,234.781
CUUR0000SA0,2014,M03,2014 Mar,236.293
CUUR0000SA0,2014,M04,2014 Apr,237.072
CUUR0000SA0,2014,M05,2014 May,237.900
CUUR0000SA0,2014,M06,2014 Jun,238.343
CUUR0000SA0,2014,M07,2014 Jul,238.250
CUUR0000SA0,2014,M08,2014 Aug,237.852
CUUR0000SA0,2014,M09,2014 Sep,238.031
CUUR0000SA0,2014,M10,2014 Oct,237.433
CUUR0000SA0,2014,M11,2014 Nov,236.151
CUUR0000SA0,2014,M12,2014 Dec,234.812
CUUR0000SA0,2015,M01,2015 Jan,233.707
CUUR0000SA0,2015,M02,2015 Feb,234.722
CUUR0000SA0,2015,M03,2015 Mar,236.119
CUUR0000SA0,2015,M04,2015 Apr,236.599
CUUR0000SA0,2015,M05,2015 May,237.805
CUUR0000SA0,2015,M06,2015 Jun,238.638
CUUR0000SA0,2015,M07,2015 Jul,238.654
CUUR0000SA0,2015,M08,2015 Aug,238.316
CUUR0000SA0,2015,M09,2015 Sep,237.945
CUUR0000SA0,2015,M10,2015 Oct,237.838
CUUR0000SA0,2015,M11,2015 Nov,237.336
CUUR0000SA0,2015,M12,2015 Dec,236.525
CUUR0000SA0,2016,M01,2016 Jan,236.916
CUUR0000SA0,2016,M02,2016 Feb,237.111
CUUR0000SA0,2016,M03,2016 Mar,238.132
CUUR0000SA0,2016,M04,2016 Apr,239.261
